,CS1,DS,DM,PP,P-S,JP
1,34.0,48.0,36.0,31.0,40.0,35.0
2,53.0,47.0,43.0,45.0,50.0,50.0
3,37.0,36.0,33.0,32.0,37.0,39.0
4,41.0,45.0,41.0,38.0,43.0,47.0
5,40.0,37.0,37.0,35.0,44.0,40.0
6,34.0,39.0,32.0,30.0,41.0,40.0
7,36.0,38.0,38.0,32.0,43.0,41.0
8,36.0,45.0,40.0,35.0,45.0,49.0
9,47.0,44.0,42.0,38.0,45.0,44.0
10,41.0,32.0,34.0,36.0,41.0,40.0
11,49.0,36.0,37.0,40.0,43.0,45.0
12,46.0,36.0,32.0,38.0,43.0,39.0
13,44.0,44.0,40.0,35.0,47.0,43.0
14,41.0,13.0,37.0,35.0,42.0,43.0
15,45.0,46.0,42.0,41.0,42.0,48.0
16,42.0,43.0,38.0,34.0,40.0,45.0
17,44.0,36.0,40.0,37.0,43.0,45.0
18,43.0,48.0,46.0,43.0,53.0,50.0
19,49.0,50.0,45.0,39.0,51.0,48.0
20,39.0,45.0,40.0,32.0,43.0,47.0
21,51.0,43.0,41.0,45.0,49.0,48.0
22,43.0,48.0,40.0,40.0,46.0,49.0
23,44.0,38.0,33.0,36.0,40.0,46.0
24,42.0,37.0,39.0,38.0,40.0,40.0
25,34.0,40.0,41.0,37.0,40.0,37.0
26,39.0,41.0,30.0,34.0,43.0,44.0
27,47.0,45.0,36.0,37.0,44.0,45.0
28,47.0,44.0,42.0,39.0,46.0,46.0
29,50.0,45.0,37.0,40.0,42.0,46.0
30,44.0,47.0,40.0,39.0,45.0,46.0
31,48.0,48.0,45.0,40.0,43.0,43.0
32,30.0,33.0,29.0,31.0,32.0,36.0
33,38.0,45.0,45.0,40.0,48.0,46.0
34,52.0,46.0,46.0,45.0,54.0,54.0
35,49.0,45.0,44.0,40.0,47.0,51.0
36,50.0,49.0,45.0,43.0,48.0,52.0
37,41.0,32.0,28.0,34.0,31.0,39.0
38,41.0,33.0,29.0,33.0,40.0,34.0
39,51.0,49.0,45.0,43.0,50.0,54.0
40,35.0,38.0,31.0,33.0,40.0,34.0
41,44.0,44.0,37.0,39.0,47.0,47.0
42,43.0,40.0,39.0,37.0,47.0,44.0
43,47.0,47.0,41.0,40.0,48.0,48.0
44,46.0,40.0,38.0,41.0,41.0,45.0
45,46.0,41.0,40.0,40.0,41.0,46.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,44.0,36.0,39.0,35.0,45.0,43.0
48,48.0,42.0,43.0,41.0,45.0,47.0
49,42.0,40.0,43.0,39.0,41.0,44.0
50,51.0,52.0,43.0,44.0,49.0,52.0
51,40.0,39.0,39.0,34.0,41.0,36.0
52,50.0,46.0,39.0,42.0,46.0,49.0
53,34.0,35.0,29.0,31.0,35.0,39.0
54,46.0,44.0,32.0,38.0,42.0,47.0
55,49.0,47.0,45.0,43.0,48.0,46.0
56,44.0,43.0,36.0,39.0,46.0,49.0
57,49.0,46.0,41.0,37.0,40.0,48.0
58,26.0,38.0,28.0,28.0,35.0,26.0
59,36.0,42.0,32.0,32.0,36.0,38.0
60,43.0,44.0,40.0,38.0,45.0,42.0
61,40.0,38.0,35.0,39.0,47.0,37.0
62,43.0,48.0,42.0,41.0,49.0,44.0
63,49.0,49.0,43.0,33.0,47.0,54.0
64,41.0,51.0,41.0,41.0,46.0,48.0
65,37.0,42.0,41.0,35.0,39.0,38.0
66,43.0,48.0,36.0,39.0,42.0,46.0
