,CS1_mid1,DS_mid1,PP_mid1,JP_mid1,PS_mid1,DM_mid1
3,16.5,19.0,16.0,16.0,16.0,17.0
4,9.5,11.0,15.0,11.0,15.0,13.0
5,9.0,11.0,14.0,5.0,12.0,13.0
6,17.0,20.0,17.0,18.0,18.0,20.0
7,10.0,15.0,11.0,11.0,15.0,17.0
8,2.5,20.0,9.0,6.0,9.0,13.0
9,11.5,15.0,10.0,6.0,8.0,13.0
10,16.5,18.0,19.0,19.0,16.0,14.0
11,11.0,18.0,14.0,13.0,15.0,17.0
12,0.0,6.0,3.0,1.0,1.0,3.0
13,7.0,12.0,17.0,14.0,18.0,19.0
14,13.5,14.0,19.0,1.0,15.0,11.0
15,9.5,11.0,17.0,16.0,17.0,17.0
16,8.5,6.0,12.0,1.0,12.0,5.0
17,18.5,20.0,17.0,15.0,19.0,15.0
18,16.5,17.0,14.0,12.0,16.0,19.0
19,1.0,5.0,10.0,6.0,3.0,2.0
20,15.5,18.0,16.0,18.0,12.0,19.0
21,11.5,17.0,17.0,15.0,17.0,16.0
22,15.5,19.0,19.0,20.0,19.0,18.0
23,12.5,11.0,16.0,10.0,15.0,13.0
24,13.5,19.0,15.0,16.0,14.0,17.0
25,1.5,10.0,9.0,3.0,6.0,8.0
26,2.0,7.0,4.0,0.0,1.0,2.0
27,3.0,11.0,4.0,5.0,2.0,4.0
28,1.5,11.0,3.0,0.0,4.0,5.0
29,11.5,13.0,12.0,2.0,16.0,17.0
30,12.5,12.0,16.0,12.0,4.0,12.0
31,6.5,2.0,14.0,5.0,9.0,5.0
32,6.0,15.0,10.0,4.0,5.0,3.0
33,16.0,15.0,13.0,11.0,11.0,12.0
34,3.0,3.0,1.0,3.0,3.0,2.0
35,11.0,8.0,12.0,7.0,10.0,15.0
36,16.0,15.0,16.0,17.0,19.0,17.0
37,12.0,16.0,12.0,7.0,14.0,12.0
38,16.0,19.0,15.0,13.0,14.0,16.0
39,,0.0,6.0,4.0,1.0,3.0
40,3.5,13.0,8.0,7.0,3.0,0.0
41,19.0,19.0,17.0,12.0,17.0,18.0
42,4.5,1.0,6.0,1.0,13.0,7.0
43,14.5,16.0,13.0,9.0,12.0,10.0
44,1.0,1.0,6.0,6.0,0.0,3.0
45,9.0,4.0,10.0,0.0,16.0,11.0
46,10.0,20.0,15.0,5.0,10.0,7.0
47,19.0,20.0,19.0,0.0,19.0,16.0
48,,0.0,0.0,0.0,0.0,0.0
49,11.0,11.0,13.0,4.0,10.0,13.0
50,18.0,16.0,17.0,13.0,17.0,17.0
51,,0.0,0.0,0.0,0.0,0.0
52,7.0,6.0,13.0,8.0,13.0,7.0
53,,0.0,0.0,13.0,0.0,0.0
54,10.5,5.0,13.0,4.0,7.0,6.0
55,9.0,5.0,12.0,0.0,5.0,11.0
56,10.0,3.0,10.0,2.0,9.0,13.0
57,16.0,15.0,17.0,11.0,19.0,18.0
58,13.0,20.0,14.0,7.0,8.0,15.0
59,8.0,12.0,15.0,6.0,6.0,12.0
60,6.0,1.0,5.0,0.0,2.0,5.0
61,8.5,2.0,11.0,4.0,10.0,11.0
62,9.0,1.0,6.0,0.0,10.0,6.0
63,0.0,5.0,9.0,3.0,10.0,1.0
64,12.0,17.0,16.0,20.0,16.0,14.0
65,16.0,19.0,17.0,19.0,15.0,18.0
66,12.5,15.0,16.0,16.0,12.0,12.0
67,6.0,7.0,13.0,12.0,8.0,8.0
68,9.0,12.0,14.0,15.0,7.0,11.0
